stim,x1,x2,x3,x4,x5,x6,x7,x8,t1,t2,t3,m1,m2,m3,m4,m5,m6,m7,m8
001,1,2,2,2,4,3,2,2,1,-1,-1,0,0,0,0,0,0,0,0
002,1,2,3,2,3,3,2,2,1,-1,-1,0,0,0,0,0,0,0,0
003,1,2,4,3,2,4,2,2,1,-1,-1,0,0,0,0,0,0,0,0
004,1,2,2,3,4,4,3,3,1,-1,-1,0,0,0,0,0,0,0,0
005,1,3,3,4,3,2,3,3,1,-1,-1,0,0,0,0,0,0,0,0
006,1,3,4,4,2,2,3,3,1,-1,-1,0,0,0,0,0,0,0,0
007,1,3,2,2,4,4,4,4,1,-1,-1,0,0,0,0,0,0,0,0
008,1,3,3,2,3,4,4,4,1,-1,-1,0,0,0,0,0,0,0,0
009,1,4,4,3,2,3,4,4,1,-1,-1,0,0,0,0,0,0,0,0
010,1,4,2,3,4,3,4,4,1,-1,-1,0,0,0,0,0,0,0,0
011,1,4,3,4,3,3,4,4,1,-1,-1,0,0,0,0,0,0,0,0
012,1,4,4,4,2,3,4,3,1,-1,-1,0,0,0,0,0,0,0,0
013,1,4,2,2,4,2,2,2,1,-1,-1,0,0,0,0,0,0,0,0
014,1,4,3,2,3,2,2,3,1,-1,-1,0,0,0,0,0,0,0,0
015,1,4,4,3,2,2,2,2,1,-1,-1,0,0,0,0,0,0,0,0
016,1,4,2,3,3,2,2,3,1,-1,-1,0,0,0,0,0,0,0,0
101,2,1,2,2,4,3,2,2,-1,1,-1,0,0,0,0,0,0,0,0
102,2,1,3,2,3,3,2,2,-1,1,-1,0,0,0,0,0,0,0,0
103,2,1,4,3,2,4,2,2,-1,1,-1,0,0,0,0,0,0,0,0
104,2,1,2,3,4,4,3,3,-1,1,-1,0,0,0,0,0,0,0,0
105,3,1,3,4,3,2,3,3,-1,1,-1,0,0,0,0,0,0,0,0
106,3,1,4,4,2,2,3,3,-1,1,-1,0,0,0,0,0,0,0,0
107,3,1,2,2,4,4,4,4,-1,1,-1,0,0,0,0,0,0,0,0
108,3,1,3,2,3,4,4,4,-1,1,-1,0,0,0,0,0,0,0,0
109,4,1,4,3,2,3,4,4,-1,1,-1,0,0,0,0,0,0,0,0
110,4,1,2,3,4,3,4,4,-1,1,-1,0,0,0,0,0,0,0,0
111,4,1,3,4,3,3,4,4,-1,1,-1,0,0,0,0,0,0,0,0
112,4,1,4,4,2,3,4,3,-1,1,-1,0,0,0,0,0,0,0,0
113,4,1,2,2,4,2,2,2,-1,1,-1,0,0,0,0,0,0,0,0
114,4,1,3,2,3,2,2,3,-1,1,-1,0,0,0,0,0,0,0,0
115,4,1,4,3,2,2,2,2,-1,1,-1,0,0,0,0,0,0,0,0
116,4,1,2,3,3,2,2,3,-1,1,-1,0,0,0,0,0,0,0,0
201,2,2,1,2,4,3,2,2,-1,-1,1,0,0,0,0,0,0,0,0
202,2,3,1,2,3,3,2,2,-1,-1,1,0,0,0,0,0,0,0,0
203,2,4,1,3,2,4,2,2,-1,-1,1,0,0,0,0,0,0,0,0
204,2,2,1,3,4,4,3,3,-1,-1,1,0,0,0,0,0,0,0,0
205,3,3,1,4,3,2,3,3,-1,-1,1,0,0,0,0,0,0,0,0
206,3,4,1,4,2,2,3,3,-1,-1,1,0,0,0,0,0,0,0,0
207,3,2,1,2,4,4,4,4,-1,-1,1,0,0,0,0,0,0,0,0
208,3,3,1,2,3,4,4,4,-1,-1,1,0,0,0,0,0,0,0,0
209,4,4,1,3,2,3,4,4,-1,-1,1,0,0,0,0,0,0,0,0
210,4,2,1,3,4,3,4,4,-1,-1,1,0,0,0,0,0,0,0,0
211,4,3,1,4,3,3,4,4,-1,-1,1,0,0,0,0,0,0,0,0
212,4,4,1,4,2,3,4,3,-1,-1,1,0,0,0,0,0,0,0,0
213,4,2,1,2,4,2,2,2,-1,-1,1,0,0,0,0,0,0,0,0
214,4,3,1,2,3,2,2,3,-1,-1,1,0,0,0,0,0,0,0,0
215,4,4,1,3,2,2,2,2,-1,-1,1,0,0,0,0,0,0,0,0
216,4,2,1,3,3,2,2,3,-1,-1,1,0,0,0,0,0,0,0,0
