stim,x1,x2,x3,x4,x5,x6,x7,x8,t1,t2,t3,m1,m2,m3,m4,m5,m6,m7,m8
001,1,2,2,2,2,2,1,1,1,-1,-1,0,0,0,0,0,0,0,0
002,1,3,4,3,3,3,2,2,1,-1,-1,0,0,0,0,0,0,0,0
003,1,4,5,4,4,4,3,3,1,-1,-1,0,0,0,0,0,0,0,0
004,1,5,6,5,5,5,4,4,1,-1,-1,0,0,0,0,0,0,0,0
005,1,6,7,6,6,6,5,5,1,-1,-1,0,0,0,0,0,0,0,0
006,1,7,8,7,7,7,6,6,1,-1,-1,0,0,0,0,0,0,0,0
007,1,8,9,8,8,8,7,7,1,-1,-1,0,0,0,0,0,0,0,0
008,1,9,10,9,9,9,8,8,1,-1,-1,0,0,0,0,0,0,0,0
009,1,10,11,10,10,10,9,9,1,-1,-1,0,0,0,0,0,0,0,0
010,1,11,12,11,11,11,10,10,1,-1,-1,0,0,0,0,0,0,0,0
011,1,12,13,12,12,12,11,11,1,-1,-1,0,0,0,0,0,0,0,0
012,1,13,14,13,13,13,12,12,1,-1,-1,0,0,0,0,0,0,0,0
013,1,14,15,14,14,14,13,13,1,-1,-1,0,0,0,0,0,0,0,0
014,1,15,16,15,15,15,14,14,1,-1,-1,0,0,0,0,0,0,0,0
015,1,16,17,16,16,16,15,15,1,-1,-1,0,0,0,0,0,0,0,0
016,1,17,18,17,17,17,16,16,1,-1,-1,0,0,0,0,0,0,0,0
101,2,1,19,18,18,18,17,17,-1,1,-1,0,0,0,0,0,0,0,0
102,3,1,20,19,19,19,18,18,-1,1,-1,0,0,0,0,0,0,0,0
103,4,1,21,20,20,20,19,19,-1,1,-1,0,0,0,0,0,0,0,0
104,5,1,22,21,21,21,20,20,-1,1,-1,0,0,0,0,0,0,0,0
105,6,1,23,22,22,22,21,21,-1,1,-1,0,0,0,0,0,0,0,0
106,7,1,24,23,23,23,22,22,-1,1,-1,0,0,0,0,0,0,0,0
107,8,1,25,24,24,24,23,23,-1,1,-1,0,0,0,0,0,0,0,0
108,9,1,26,25,25,25,24,24,-1,1,-1,0,0,0,0,0,0,0,0
109,10,1,27,26,26,26,25,25,-1,1,-1,0,0,0,0,0,0,0,0
110,11,1,28,27,27,27,26,26,-1,1,-1,0,0,0,0,0,0,0,0
111,12,1,29,28,28,28,27,27,-1,1,-1,0,0,0,0,0,0,0,0
112,13,1,30,29,29,29,28,28,-1,1,-1,0,0,0,0,0,0,0,0
113,14,1,31,30,30,30,29,29,-1,1,-1,0,0,0,0,0,0,0,0
114,15,1,32,31,31,31,30,30,-1,1,-1,0,0,0,0,0,0,0,0
115,16,1,33,32,32,32,31,31,-1,1,-1,0,0,0,0,0,0,0,0
116,17,1,34,33,33,33,32,32,-1,1,-1,0,0,0,0,0,0,0,0
201,18,18,1,34,34,34,33,33,-1,-1,1,0,0,0,0,0,0,0,0
202,19,19,1,35,35,35,34,34,-1,-1,1,0,0,0,0,0,0,0,0
203,20,20,1,36,36,36,35,35,-1,-1,1,0,0,0,0,0,0,0,0
204,21,21,1,37,37,37,36,36,-1,-1,1,0,0,0,0,0,0,0,0
205,22,22,1,38,38,38,37,37,-1,-1,1,0,0,0,0,0,0,0,0
206,23,23,1,39,39,39,38,38,-1,-1,1,0,0,0,0,0,0,0,0
207,24,24,1,40,40,40,39,39,-1,-1,1,0,0,0,0,0,0,0,0
208,25,25,1,41,41,41,40,40,-1,-1,1,0,0,0,0,0,0,0,0
209,26,26,1,42,42,42,41,41,-1,-1,1,0,0,0,0,0,0,0,0
210,27,27,1,43,43,43,42,42,-1,-1,1,0,0,0,0,0,0,0,0
211,28,28,1,44,44,44,43,43,-1,-1,1,0,0,0,0,0,0,0,0
212,29,29,1,45,45,45,44,44,-1,-1,1,0,0,0,0,0,0,0,0
213,30,30,1,46,46,46,45,45,-1,-1,1,0,0,0,0,0,0,0,0
214,31,31,1,47,47,47,46,46,-1,-1,1,0,0,0,0,0,0,0,0
215,32,32,1,48,48,48,47,47,-1,-1,1,0,0,0,0,0,0,0,0
216,33,33,1,49,49,49,48,48,-1,-1,1,0,0,0,0,0,0,0,0
