stim,x1,x2,x3,x4,x5,x6,x7,x8,y1
001,1,2,2,2,4,3,2,2,1
002,1,2,3,2,3,3,2,2,1
003,1,2,4,3,2,4,2,2,1
004,1,2,2,3,4,4,3,3,1
005,1,3,3,4,3,2,3,3,1
006,1,3,4,4,2,2,3,3,1
007,1,3,2,2,4,4,4,4,1
008,1,3,3,2,3,4,4,4,1
009,1,4,4,3,2,3,4,4,1
010,1,4,2,3,4,3,4,4,1
011,1,4,3,4,3,3,4,4,1
012,1,4,4,4,2,3,4,3,1
013,1,4,2,2,4,2,2,2,1
014,1,4,3,2,3,2,2,3,1
015,1,4,4,3,2,2,2,2,1
016,1,4,2,3,3,2,2,3,1
101,2,1,2,2,4,3,2,2,2
102,2,1,3,2,3,3,2,2,2
103,2,1,4,3,2,4,2,2,2
104,2,1,2,3,4,4,3,3,2
105,3,1,3,4,3,2,3,3,2
106,3,1,4,4,2,2,3,3,2
107,3,1,2,2,4,4,4,4,2
108,3,1,3,2,3,4,4,4,2
109,4,1,4,3,2,3,4,4,2
110,4,1,2,3,4,3,4,4,2
111,4,1,3,4,3,3,4,4,2
112,4,1,4,4,2,3,4,3,2
113,4,1,2,2,4,2,2,2,2
114,4,1,3,2,3,2,2,3,2
115,4,1,4,3,2,2,2,2,2
116,4,1,2,3,3,2,2,3,2
201,2,2,1,2,4,3,2,2,3
202,2,3,1,2,3,3,2,2,3
203,2,4,1,3,2,4,2,2,3
204,2,2,1,3,4,4,3,3,3
205,3,3,1,4,3,2,3,3,3
206,3,4,1,4,2,2,3,3,3
207,3,2,1,2,4,4,4,4,3
208,3,3,1,2,3,4,4,4,3
209,4,4,1,3,2,3,4,4,3
210,4,2,1,3,4,3,4,4,3
211,4,3,1,4,3,3,4,4,3
212,4,4,1,4,2,3,4,3,3
213,4,2,1,2,4,2,2,2,3
214,4,3,1,2,3,2,2,3,3
215,4,4,1,3,2,2,2,2,3
216,4,2,1,3,3,2,2,3,3
