type,block,error
1,1,0.207122
1,2,0.0184150
1,3,0.00496142
1,4,0.00129194
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
2,1,0.419742
2,2,0.160753
2,3,0.070788,
2,4,0.0448782
2,5,0.0323108
2,6,0.0259759
2,7,0.0214185
2,8,0.0177456
2,9,0.0140779
2,10,0.0104101
2,11,0.00763028
2,12,0.00662794
2,13,0.00474118
2,14,0.00284575
2,15,0.00096072,
2,16,0.000849736
3,1,0.462442
3,2,0.311988
3,3,0.222025
3,4,0.164979
3,5,0.123057
3,6,0.0944802
3,7,0.0721304
3,8,0.0542218
3,9,0.0380959
3,10,0.0273147
3,11,0.0200832
3,12,0.0137518
3,13,0.0100789
3,14,0.00284575
3,15,0.00273996
3,16,0.00352554
4,1,0.469562
4,2,0.339566
4,3,0.248718
4,4,0.180994
4,5,0.131062
4,6,0.0953715
4,7,0.0676823
4,8,0.0462152
4,9,0.0300928
4,10,0.0184185
4,11,0.0111888
4,12,0.00663314
4,13,0.00385329
4,14,0.00463019
4,15,0.00273996
4,16,0.00174282
5,1,0.475793
5,2,0.328891
5,3,0.240706
5,4,0.180097
5,5,0.141738
5,6,0.108707
5,7,0.0863643
5,8,0.0640128
5,9,0.0487766
5,10,0.0344282
5,11,0.0227556
5,12,0.0137484
5,13,0.00829966
5,14,0.00373884
5,15,0.00451921
5,16,0.000848001
6,1,0.519379
6,2,0.417853
6,3,0.361694
6,4,0.311768
6,5,0.265395
6,6,0.224363
6,7,0.188671
6,8,0.155644
6,9,0.130623
6,10,0.107381
6,11,0.0850256
6,12,0.0680153
6,13,0.0518876
6,14,0.0384375
6,15,0.0258701
6,16,0.0177525
