"p(error)(block), created by Plot Digitizer, 2.6.8"
"Date: 20/04/18, 16:08:32"


96
block,p(error)
1.08450,0.207122,
2.04491,0.0184150,
3.02691,0.00496142,
4.02484,0.00129194,
5.03842,-0.000600017,
6.02087,-0.000709269,
7.03454,6.76320e-05,
8.03256,-0.000932975,
9.01498,-0.00193185,
9.99749,-0.000261857,
10.9955,-0.00126246,
12.0092,-0.000485563,
13.0072,-0.000596549,
14.0209,0.000180352,
14.9878,7.28345e-05,
16.0013,-0.00181913,
1.09177,0.419742,
2.06537,0.160753,
3.07594,0.0707882,
4.07311,0.0448782,
5.08632,0.0323108,
6.05297,0.0259759,
7.03527,0.0214185,
8.06438,0.0177456,
9.04671,0.0140779,
10.0290,0.0104101,
11.0270,0.00763028,
12.0406,0.00662794,
13.0074,0.00474118,
14.0522,0.00284575,
15.0034,0.000960721,
16.0014,0.000849736,
1.10882,0.462442,
2.07054,0.311988,
3.06552,0.222025,
4.06162,0.164979,
5.04264,0.123057,
6.02412,0.0944802,
7.00581,0.0721304,
8.05004,0.0542218,
9.06313,0.0380959,
10.0140,0.0273147,
11.0430,0.0200832,
11.9785,0.0137518,
13.0076,0.0100789,
14.0522,0.00284575,
15.0034,0.00273996,
15.9391,0.00352554,
1.07787,0.469562,
2.07148,0.339566,
3.03524,0.248718,
4.04657,0.180994,
5.05851,0.131062,
6.00856,0.0953715,
7.00566,0.0676823,
8.04976,0.0462152,
9.03167,0.0300928,
10.0137,0.0184185,
11.0271,0.0111888,
11.9938,0.00663314,
12.9918,0.00385329,
14.0055,0.00463019,
15.0034,0.00273996,
15.9703,0.00174282,
1.04690,0.475793,
2.07112,0.328891,
3.08175,0.240706,
4.10892,0.180097,
5.05887,0.141738,
6.08699,0.108707,
7.00630,0.0863643,
8.00359,0.0640128,
9.01671,0.0487766,
10.0455,0.0344282,
11.0119,0.0227556,
12.0097,0.0137484,
13.0075,0.00829966,
14.0210,0.00373884,
15.0035,0.00451921,
16.0170,0.000848001,
1.09517,0.519379,
2.07416,0.417853,
3.08588,0.361694,
4.05104,0.311768,
5.06310,0.265395,
6.04415,0.224363,
7.00980,0.188671,
8.00672,0.155644,
9.00391,0.130623,
10.0168,0.107381,
11.0452,0.0850256,
12.0115,0.0680153,
13.0402,0.0518876,
13.9910,0.0384375,
15.0042,0.0258701,
16.0020,0.0177525,
